name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
용인마북 DT,경기 용인시 기흥구 마북동 552-4,37.3024726357499,127.10628235193924,1개,0만원,"161,648명","6,327명","17,462명",407만원
용인신갈DT,경기 용인시 기흥구 영덕동 40-2,37.269515,127.0970449,0개,0만원,"114,749명","6,112명","20,333명",357만원
용인시청DT,경기 용인시 처인구 삼가동 250-34,37.2387541,127.1745618,1개,"23,783만원","78,899명","6,592명","8,376명",341만원
용인동백DT,경기 용인시 기흥구 상하동 455-2,37.274748,127.141523,0개,0만원,"40,912명","3,790명","13,396명",346만원
용인DT,경기 용인시 처인구 김량장동 177-9,37.239931446158,127.2106275428,3개,"3,193만원","125,638명","8,226명","13,637명",328만원
용인보라DT,경기 용인시 기흥구 하갈동 142-8,37.2544724,127.1046466,2개,"41,993만원","123,159명","7,860명","7,250명",351만원
이천 DT,경기 이천시 중리동 461-3,37.275135,127.446654,7개,"2,902만원","423,726명","12,001명","11,009명",337만원
안성공도DT,경기 안성시 공도읍 마정리 149-17,37.0031697,127.1806612,0개,0만원,"55,520명","1,811명","5,458명",323만원
김포고촌SK DT점,경기 김포시 고촌읍 신곡리 532-25,37.6011347,126.7710576,3개,"4,029만원","141,976명","6,528명","18,052명",341만원
김포장기 DT,경기 김포시 장기동 1911-2,37.6463204,126.6707396,7개,"3,126만원","122,175명","8,806명","32,450명",335만원
김포감정DT점,경기 김포시 감정동 504-6,37.624299,126.696611,2개,"11,087만원","78,978명","5,518명","18,325명",327만원
김포구래DT,경기 김포시 구래동 6871-25,37.645171,126.619049,4개,"3,418만원","142,163명","10,238명","12,159명",353만원
병점DT점,경기 화성시 병점동 372-1,37.205453,127.037108,2개,"3,489만원","161,715명","12,231명","31,237명",338만원
동탄SK점,경기 화성시 능동 1051-1,37.2211071,127.0602127,0개,0만원,"191,948명","40,785명","18,067명",412만원
화성봉담DT,경기 화성시 기안동 357-5,37.2238271,126.9731257,1개,"14,181만원","99,691명","5,469명","15,601명",336만원
화성향남DT,경기 화성시 향남읍 방축리 297-75,37.121811,126.9187348,2개,"6,469만원","27,227명","2,572명","15,995명",347만원
경기광주DT,경기 광주시 쌍령동 155-18,37.40132790837621,127.27116160471068,0개,0만원,"42,092명","2,370명","13,747명",319만원
양주덕계DT,경기 양주시 덕계동 495-8,37.8247972,127.0508141,2개,"5,648만원","37,635명","3,842명","13,204명",309만원
양주휴게소DT,경기 양주시 장흥면 삼하리 250-16,37.678968,126.91616,0개,0만원,"26,113명",537명,543명,310만원
포천DT,경기 포천시 설운동 13-7,37.845665,127.160166,2개,0만원,"38,910명","1,812명","1,723명",322만원
여주DT,경기 여주시 교동 101,37.280375,127.635963,2개,"17,153만원","41,369명","2,027명","11,729명",323만원
청주비하 DT,충북 청주시 흥덕구 비하동 671-12,36.6386995,127.4222387,2개,"16,894만원","118,323명","8,770명","22,917명",377만원
청주봉명 DT,충북 청주시 흥덕구 봉명동 1405,36.6462293,127.4642027,5개,"2,455만원","73,633명","10,097명","19,439명",323만원
청주분평DT,충북 청주시 서원구 분평동 241-4,36.610333,127.483852,5개,"2,393만원","108,388명","11,393명","21,845명",309만원
청주율량GS DT점,충북 청주시 청원구 율량동 769,36.67074,127.484197,4개,"2,300만원","89,549명","11,240명","24,056명",323만원
청주금천 DT,충북 청주시 상당구 금천동 44-1,36.627773,127.508134,3개,"2,331만원","107,156명","9,749명","33,090명",305만원
충주교현 DT,충북 충주시 교현동 624-1,36.9793601,127.9279571,1개,0만원,"51,304명","9,391명","11,308명",310만원
제천DT점,충북 제천시 청전동 165-5,37.145273,128.214212,1개,"2,537만원","78,529명","8,886명","12,762명",313만원
천안원성 DT,충남 천안시 동남구 원성동 442-1,36.8105986,127.164304,0개,0만원,"38,183명","4,790명","9,605명",321만원
천안 쌍용역 DT점,충남 천안시 서북구 쌍용동 394-10,36.7935958,127.1259295,3개,"3,104만원","170,135명","13,873명","35,450명",316만원
천안두정DT,충남 천안시 서북구 두정동 620,36.8256774,127.1286879,4개,"2,427만원","83,044명","10,861명","27,342명",336만원
천안두정역DT,충남 천안시 서북구 두정동 24-8,36.832998,127.152069,3개,"2,341만원","69,502명","6,609명","24,087명",310만원
충남보령DT,충남 보령시 궁촌동 345-4,36.341671,126.589098,1개,0만원,"16,107명","1,827명","2,150명",313만원
충남아산DT,충남 아산시 온천동 36-28,36.784632,127.0050001,6개,"3,603만원","158,918명","16,248명","11,961명",318만원
서산DT,충남 서산시 예천동 524-26,36.772804,126.441134,3개,"3,222만원","56,694명","4,152명","17,523명",325만원
충남논산DT,충남 논산시 내동 343-1,36.18859,127.0954323,4개,"1,918만원","49,796명","7,999명","13,955명",275만원
충남당진DT,충남 당진시 읍내동 423-39,36.8971623,126.6269708,3개,"1,728만원","95,743명","7,458명","15,509명",326만원
충남홍성DT,충남 홍성군 홍성읍 소향리 72-4,36.6046922,126.6613855,3개,"2,292만원","97,984명","5,848명","5,561명",329만원
목포석현DT,전남 목포시 석현동 816-85,34.8172292,126.4203474,3개,"2,048만원","88,071명","8,856명","20,529명",317만원
목포하당DT점,전남 목포시 통일대로 88,34.800431,126.433771,2개,"1,860만원","129,825명","11,056명","10,768명",318만원
여수 학동 DT점,전남 여수시 학동 82-3,34.760998,127.664462,5개,"2,095만원","186,343명","17,709명","10,713명",324만원
순천덕암DT점,전남 순천시 덕암동 146-32,34.9417246,127.5089934,2개,"4,355만원","109,796명","5,858명","8,822명",305만원
순천조례DT,전남 순천시 조례동 382-1,34.957298,127.528712,5개,"2,256만원","80,594명","9,338명","22,158명",333만원
광양DT,전남 광양시 중동 1309-3,34.9393534,127.6997305,7개,"3,008만원","160,310명","11,760명","12,715명",331만원
목포남악DT점,전남 무안군 삼향읍 남악리 2148,34.8107491,126.4606712,6개,"2,420만원","143,134명","8,163명","15,540명",344만원
포항북부 DT,경북 포항시 북구 두호동 724,36.0563529,129.3775382,4개,"2,117만원","53,552명","6,012명","13,666명",298만원
포항남부DT점,경북 포항시 남구 대잠동 915,36.0172853,129.3472423,2개,"6,300만원","129,029명","17,874명","12,884명",323만원
포항장성DT점,경북 포항시 북구 장성동 1576-5,36.0747692,129.3848809,1개,0만원,"37,467명","4,621명","13,493명",306만원
경주황남 DT,경북 경주시 노서동 169-4,35.8388905,129.2049056,2개,"9,174만원","70,126명","6,575명","5,490명",304만원
경주보문DT,경북 경주시 신평동 436,35.8437132,129.2882117,1개,"11,090만원","34,025명","1,920명",147명,304만원
경주용강 DT,경북 경주시 용강동 875,35.8690051,129.2250611,0개,0만원,"46,619명","4,213명","10,052명",315만원
김천평화DT점,경북 김천시 평화동 2-2,36.127952,128.117844,2개,"20,560만원","81,729명","6,205명","9,321명",326만원
안동DT,경북 안동시 옥동 985-10,36.560062,128.703393,4개,"2,308만원","64,119명","6,565명","12,400명",303만원
구미도량 DT,경북 구미시 도량동 524-3,36.1362527,128.3320295,0개,0만원,"38,114명","5,171명","7,273명",301만원
구미형곡점,경북 구미시 형곡동 146-9,36.111127,128.335711,2개,"2,065만원","53,194명","12,195명","22,045명",312만원
구미인동DT,경북 구미시 인의동 1004-1,36.0953595,128.4315431,5개,"2,201만원","37,899명","9,885명","21,725명",352만원
구미옥계DT점,경북 구미시 옥계동 362-1,36.1403367,128.4182258,3개,"2,379만원","68,269명","5,648명","17,522명",340만원
영천DT,경북 영천시 망정동 206-9,35.9762739,128.952638,3개,"1,764만원","38,676명","3,068명","9,925명",309만원
경산정평DT,경북 경산시 정평동 147-6,35.8347,128.727062,3개,"1,100만원","123,820명","8,814명","34,467명",313만원
창원역DT점,경남 창원시 의창구 팔용동 149-4,35.2559358,128.6067754,2개,"1,666만원","114,188명","12,645명","10,338명",314만원
마산신포DT,경남 창원시 마산합포구 신포동1가 25-1,35.197997,128.57071,4개,"1,058만원","126,724명","15,530명","15,586명",302만원
진해자은 DT,경남 창원시 진해구 자은동 808-2,35.1447205,128.7068096,2개,"26,799만원","65,456명","5,765명","20,907명",302만원
창원사파DT,경남 창원시 성산구 사파동 97-4,35.221964,128.700305,0개,0만원,"61,277명","7,519명","18,833명",369만원
창원내서DT,경남 창원시 마산회원구 내서읍 중리 1043-8,35.2485149,128.5103547,1개,0만원,"35,301명","6,112명","4,359명",306만원
마산석전DT,경남 창원시 마산회원구 석전동 261-14,35.228,128.574,2개,"1,861만원","104,861명","9,699명","24,979명",303만원
