name,address,lat,lng,Upso,SalesAmt,FlowPop,EmpEop,AbodePop,EmpAvgCo
마산회원DT,경상남도 창원시 마산회원구 3·15대로 518 (회원동),35.2206567,128.5744344,33개,693만원,"79,859명","9,415명","19,403명",297만원
울산호계DT,울산광역시 북구 산업로 1464 (신천동),35.63791557,129.3450397,11개,854만원,"51,651명","2,322명","9,431명",321만원
마산봉암로DT,경상남도 창원시 마산회원구 봉양로 118 (봉암동),35.21881953,128.5993183,9개,713만원,"43,217명","12,415명","2,758명",319만원
마산해안대로DT,경상남도 창원시 마산합포구 해안대로 383 (오동동),35.20451032,128.5809559,67개,511만원,"131,236명","12,812명","11,529명",294만원
순천팔마DT,전라남도 순천시 백강로 23 (연향동),34.9351333,127.5216868,22개,952만원,"36,812명","2,425명","3,846명",330만원
마산월남동DT,경상남도 창원시 마산합포구 3·15대로 70 (월남동2가),35.18582228,128.5612262,69개,724만원,"186,656명","12,691명","16,622명",310만원
전남광양DT,전라남도 광양시 중마중앙로 143,34.9431962,127.6977924,29개,890만원,"128,047명","8,472명","8,882명",331만원
광양마동DT,전라남도 광양시 백운로 1267 (마동),34.9402692,127.7057147,24개,824만원,"54,847명","3,240명","7,241명",408만원
울산약사DT,울산광역시 중구 북부순환도로 754 (약사동),35.573151,129.337371,18개,857만원,"32,026명","5,217명","17,430명",319만원
창원대로DT,경상남도 창원시 성산구 성산패총로 182 (가음정동),35.20956159,128.6836819,14개,"1,021만원","37,168명","8,664명","7,394명",365만원
울산북구청DT,울산광역시 북구 산업로 1011 (연암동),35.58348599,129.3589047,14개,"1,343만원","93,816명","7,586명","5,300명",345만원
울산MBC DT,울산광역시 중구 번영로 434 (복산동),35.561657,129.332358,43개,629만원,"86,537명","10,847명","25,133명",309만원
울산신정DT,울산광역시 남구 문수로 435 (신정동),35.5336116,129.3011209,52개,883만원,"95,471명","11,683명","29,477명",326만원
울산시청사거리DT,울산광역시 남구 중앙로 180 (달동),35.537195,129.313617,93개,855만원,"151,961명","29,892명","22,675명",315만원
울산남구청DT,울산광역시 남구 번영로 215 (신정동),35.5441545,129.3245996,105개,753만원,"89,988명","20,520명","20,135명",314만원
울산정자비치DT,울산광역시 북구 동해안로 1601 (산하동),35.62741168,129.4411137,13개,"1,549만원","23,592명","1,060명","4,585명",322만원
마산진동DT,경상남도 창원시 마산합포구 진동면 삼진의거대로 589-1,35.114308,128.482418,17개,622만원,"13,839명","1,968명","4,063명",319만원
울산중리사거리DT,울산광역시 남구 돋질로 310 (삼산동),35.543928,129.338651,129개,"1,004만원","202,009명","27,214명","19,726명",310만원
울산번영로DT,울산광역시 남구 달삼로 3 (달동),35.53541316,129.3293004,107개,959만원,"144,987명","27,224명","33,024명",334만원
울산도산사거리DT,울산광역시 남구 대암로129번길 9-6 (야음동),35.53094166,129.330232,47개,"1,007만원","88,384명","12,734명","39,350명",338만원
울산태화강역DT,울산광역시 남구 삼산로 379 (삼산동),35.5401976,129.3486954,39개,"1,056만원","116,716명","14,971명","12,699명",377만원
김해구산DT,경상남도 김해시 김해대로 1918 (구산동),35.25531499,128.8663842,39개,788만원,"75,953명","6,577명","22,790명",302만원
양산물금DT,경상남도 양산시 물금읍 황산로 346,35.30753543,128.9864004,36개,"1,512만원","20,974명","2,778명","13,808명",330만원
김해주촌DT,경상남도 김해시 주촌면 선천로 99,35.23528329,128.8434959,13개,807만원,"24,990명","2,113명","14,732명",315만원
김해금관대로DT,경상남도 김해시 금관대로 1293 (내동),35.23987202,128.8609005,40개,897만원,"57,983명","10,814명","22,825명",294만원
진해경화역DT,경상남도 창원시 진해구 진해대로 698 (경화동),35.15925054,128.6918206,24개,999만원,"114,528명","5,495명","15,311명",297만원
남양산IC DT,경상남도 양산시 동면 양산대로 532,35.319987,129.030485,23개,729만원,"110,096명","4,596명","14,447명",335만원
김해가야로DT,경상남도 김해시 가야로 450 (동상동),35.2409026,128.8843414,20개,758만원,"27,844명","4,243명","12,596명",300만원
김해외동DT,경상남도 김해시 분성로 146 (외동),35.22962555,128.8629481,45개,887만원,"69,858명","9,882명","24,732명",316만원
